seed	depth	tool	setting	truth_scope	scoring_unit	truth_gene	pred_gene	TP	FP	FN	precision	recall	F1	unmapped_tx	tied_best_tx
103	10x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	30	25	11	14	19	0.44	0.36666666666666664	0.4	NA	NA
103	25x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	118	102	100	2	18	0.9803921568627451	0.847457627118644	0.9090909090909091	NA	NA
103	25x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	118	55	11	44	107	0.2	0.09322033898305085	0.12716763005780346	NA	NA
103	25x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	118	18	8	10	110	0.4444444444444444	0.06779661016949153	0.11764705882352941	NA	NA
103	25x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	157	290	153	137	4	0.5275862068965518	0.9745222929936306	0.6845637583892618	0	0
103	25x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	30	15	3	12	27	0.2	0.1	0.13333333333333333	NA	NA
103	25x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	30	25	11	14	19	0.44	0.36666666666666664	0.4	NA	NA
103	50x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	118	107	105	2	13	0.9813084112149533	0.8898305084745762	0.9333333333333333	NA	NA
103	50x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	118	81	17	64	101	0.20987654320987653	0.1440677966101695	0.1708542713567839	NA	NA
103	50x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	118	26	11	15	107	0.4230769230769231	0.09322033898305085	0.1527777777777778	NA	NA
103	50x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	157	290	153	137	4	0.5275862068965518	0.9745222929936306	0.6845637583892618	0	0
103	50x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	30	17	3	14	27	0.17647058823529413	0.1	0.1276595744680851	NA	NA
103	50x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	30	26	11	15	19	0.4230769230769231	0.36666666666666664	0.39285714285714285	NA	NA
103	100x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	118	112	110	2	8	0.9821428571428571	0.9322033898305084	0.9565217391304348	NA	NA
103	100x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	118	115	23	92	95	0.2	0.19491525423728814	0.19742489270386265	NA	NA
103	100x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	118	29	12	17	106	0.41379310344827586	0.1016949152542373	0.16326530612244897	NA	NA
103	100x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	157	289	152	137	5	0.5259515570934256	0.9681528662420382	0.6816143497757847	1	0
103	100x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	30	18	5	13	25	0.2777777777777778	0.16666666666666666	0.20833333333333334	NA	NA
103	100x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	30	26	12	14	18	0.46153846153846156	0.4	0.42857142857142855	NA	NA
104	5x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	114	54	54	0	60	1	0.47368421052631576	0.6428571428571429	NA	NA
104	5x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	114	18	4	14	110	0.2222222222222222	0.03508771929824561	0.06060606060606061	NA	NA
104	5x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	114	8	5	3	109	0.625	0.043859649122807015	0.08196721311475409	NA	NA
104	5x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	144	267	136	131	8	0.5093632958801498	0.9444444444444444	0.6618004866180048	0	0
104	5x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	27	10	4	6	23	0.4	0.14814814814814814	0.21621621621621623	NA	NA
104	5x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	27	15	6	9	21	0.4	0.2222222222222222	0.2857142857142857	NA	NA
104	10x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	114	68	68	0	46	1	0.5964912280701754	0.7472527472527473	NA	NA
104	10x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	114	24	4	20	110	0.16666666666666666	0.03508771929824561	0.057971014492753624	NA	NA
104	10x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	114	13	8	5	106	0.6153846153846154	0.07017543859649122	0.12598425196850394	NA	NA
104	10x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	144	267	137	130	7	0.5131086142322098	0.9513888888888888	0.6666666666666666	0	0
104	10x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	27	11	4	7	23	0.36363636363636365	0.14814814814814814	0.21052631578947367	NA	NA
104	10x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	27	22	10	12	17	0.45454545454545453	0.37037037037037035	0.40816326530612246	NA	NA
104	25x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	114	87	87	0	27	1	0.7631578947368421	0.8656716417910447	NA	NA
104	25x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	114	41	7	34	107	0.17073170731707318	0.06140350877192982	0.09032258064516129	NA	NA
104	25x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	114	18	10	8	104	0.5555555555555556	0.08771929824561403	0.15151515151515152	NA	NA
104	25x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	144	268	138	130	6	0.5149253731343284	0.9583333333333334	0.6699029126213593	0	0
104	25x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	27	11	5	6	22	0.45454545454545453	0.18518518518518517	0.2631578947368421	NA	NA
104	25x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	27	24	12	12	15	0.5	0.4444444444444444	0.47058823529411764	NA	NA
104	50x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	114	98	98	0	16	1	0.8596491228070176	0.9245283018867925	NA	NA
104	50x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	114	67	12	55	102	0.1791044776119403	0.10526315789473684	0.13259668508287292	NA	NA
104	50x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	114	20	10	10	104	0.5	0.08771929824561403	0.14925373134328357	NA	NA
104	50x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	144	268	138	130	6	0.5149253731343284	0.9583333333333334	0.6699029126213593	0	0
104	50x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	27	14	6	8	21	0.42857142857142855	0.2222222222222222	0.2926829268292683	NA	NA
104	50x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	27	26	12	14	15	0.46153846153846156	0.4444444444444444	0.4528301886792453	NA	NA
104	100x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	114	108	108	0	6	1	0.9473684210526315	0.972972972972973	NA	NA
104	100x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	114	88	14	74	100	0.1590909090909091	0.12280701754385964	0.13861386138613863	NA	NA
104	100x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	114	24	11	13	103	0.4583333333333333	0.09649122807017543	0.15942028985507245	NA	NA
104	100x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	144	269	139	130	5	0.516728624535316	0.9652777777777778	0.6731234866828087	0	0
104	100x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	27	14	6	8	21	0.42857142857142855	0.2222222222222222	0.2926829268292683	NA	NA
104	100x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	27	28	13	15	14	0.4642857142857143	0.48148148148148145	0.4727272727272727	NA	NA
105	5x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	139	74	73	1	66	0.9864864864864865	0.5251798561151079	0.6854460093896714	NA	NA
105	5x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	139	16	4	12	135	0.25	0.02877697841726619	0.05161290322580645	NA	NA
105	5x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	139	11	7	4	132	0.6363636363636364	0.050359712230215826	0.09333333333333334	NA	NA
105	5x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	171	312	159	153	12	0.5096153846153846	0.9298245614035088	0.6583850931677019	0	0
105	5x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	30	12	4	8	26	0.3333333333333333	0.13333333333333333	0.19047619047619047	NA	NA
105	5x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	30	17	6	11	24	0.35294117647058826	0.2	0.2553191489361702	NA	NA
105	10x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	139	91	91	0	48	1	0.6546762589928058	0.7913043478260869	NA	NA
105	10x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	139	32	10	22	129	0.3125	0.07194244604316546	0.11695906432748537	NA	NA
105	10x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	139	16	11	5	128	0.6875	0.07913669064748201	0.14193548387096774	NA	NA
105	10x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	171	313	160	153	11	0.5111821086261981	0.935672514619883	0.6611570247933884	0	0
105	10x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	30	12	5	7	25	0.4166666666666667	0.16666666666666666	0.23809523809523808	NA	NA
105	10x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	30	21	9	12	21	0.42857142857142855	0.3	0.35294117647058826	NA	NA
105	25x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	139	113	113	0	26	1	0.8129496402877698	0.8968253968253969	NA	NA
105	25x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	139	52	15	37	124	0.28846153846153844	0.1079136690647482	0.15706806282722513	NA	NA
105	25x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	139	20	13	7	126	0.65	0.09352517985611511	0.16352201257861634	NA	NA
105	25x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	171	313	160	153	11	0.5111821086261981	0.935672514619883	0.6611570247933884	0	0
105	25x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	30	16	6	10	24	0.375	0.2	0.2608695652173913	NA	NA
105	25x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	30	23	11	12	19	0.4782608695652174	0.36666666666666664	0.41509433962264153	NA	NA
105	50x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	139	127	126	1	13	0.9921259842519685	0.9064748201438849	0.9473684210526315	NA	NA
105	50x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	139	85	26	59	113	0.3058823529411765	0.18705035971223022	0.23214285714285715	NA	NA
105	50x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	139	21	13	8	126	0.6190476190476191	0.09352517985611511	0.1625	NA	NA
105	50x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	171	315	162	153	9	0.5142857142857142	0.9473684210526315	0.6666666666666666	0	0
105	50x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	30	18	6	12	24	0.3333333333333333	0.2	0.25	NA	NA
105	50x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	30	25	12	13	18	0.48	0.4	0.43636363636363634	NA	NA
105	100x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	139	133	132	1	7	0.9924812030075187	0.9496402877697842	0.9705882352941176	NA	NA
105	100x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	139	125	36	89	103	0.288	0.2589928057553957	0.2727272727272727	NA	NA
105	100x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	139	21	13	8	126	0.6190476190476191	0.09352517985611511	0.1625	NA	NA
105	100x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	171	317	164	153	7	0.5173501577287066	0.9590643274853801	0.6721311475409836	0	0
105	100x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	30	19	6	13	24	0.3157894736842105	0.2	0.24489795918367346	NA	NA
105	100x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	30	24	12	12	18	0.5	0.4	0.4444444444444444	NA	NA
106	5x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	101	59	59	0	42	1	0.5841584158415841	0.7375	NA	NA
106	5x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	101	28	5	23	96	0.17857142857142858	0.04950495049504951	0.07751937984496124	NA	NA
106	5x	ChimeraTE	overlap=0.10;fwd+rf_union;per_sample	expressed_TE_chimeric	assigned_host_gene_name	101	12	3	9	98	0.25	0.0297029702970297	0.05309734513274336	NA	NA
106	5x	FREDY	all_transcript_TE50_preCDS	expressed_TE50_unstranded	assigned_host_gene_name	145	257	138	119	7	0.5369649805447471	0.9517241379310345	0.6865671641791045	1	0
106	5x	LIONS	simuOptimal	expressed_5prime_exon_TE	assigned_host_gene_name	24	6	2	4	22	0.3333333333333333	0.08333333333333333	0.13333333333333333	NA	NA
106	5x	TEProf2	simulation_dictionary_adapter	expressed_5prime_exon_TE	assigned_host_gene_name	24	17	9	8	15	0.5294117647058824	0.375	0.43902439024390244	NA	NA
106	10x	TEDDY	original	expressed_TE_chimeric	assigned_host_gene_name	101	71	70	1	31	0.9859154929577465	0.693069306930693	0.813953488372093	NA	NA
106	10x	Arriba	final+discarded;support>=1	expressed_TE_chimeric	assigned_host_gene_name	101	37	10	27	91	0.2702702702702703	0.09900990099009901	0.14492753623188406	NA	NA
