Seed	Tool	Depth	Predicted Genes	Truth Genes	TP	FP	FN	Precision	Recall	F1
108	TEProf2	10x	20	19	5	15	14	0.25	0.2631578947368421	0.2564102564102564
108	TEProf2	25x	23	19	5	18	14	0.21739130434782608	0.2631578947368421	0.23809523809523808
108	TEProf2	50x	23	19	5	18	14	0.21739130434782608	0.2631578947368421	0.23809523809523808
108	TEProf2	100x	24	19	6	18	13	0.25	0.3157894736842105	0.27906976744186046
108	FREDY	5x	294	159	152	142	7	0.5170068027210885	0.9559748427672956	0.6710816777041942
108	FREDY	10x	294	159	152	142	7	0.5170068027210885	0.9559748427672956	0.6710816777041942
108	FREDY	25x	295	159	153	142	6	0.5186440677966102	0.9622641509433962	0.6740088105726872
108	FREDY	50x	296	159	154	142	5	0.5202702702702703	0.9685534591194968	0.676923076923077
108	FREDY	100x	296	159	154	142	5	0.5202702702702703	0.9685534591194968	0.676923076923077
108	LIONS	5x	11	19	1	10	18	0.09090909090909093	0.05263157894736842	0.06666666666666667
108	LIONS	10x	15	19	2	13	17	0.13333333333333333	0.10526315789473684	0.1176470588235294
108	LIONS	25x	17	19	1	16	18	0.0588235294117647	0.05263157894736842	0.05555555555555555
108	LIONS	50x	23	19	3	20	16	0.13043478260869565	0.15789473684210523	0.14285714285714285
108	LIONS	100x	21	19	3	18	16	0.14285714285714285	0.15789473684210523	0.15
